# secgurd community IOC list
# Auto-generated from abuse.ch MalwareBazaar recent export (Windows PE + scripts only)
# Updated: 2026-08-08 07:04:35 UTC
# Format: <sha256>,<malware family/signature>
#
d030dbd4fb42806f83b5681716c8fd31eb280ea6c171a908a7161223e94a48ed,MalwareBazaar
d0425434ffe85b1539b6b7f3160759f35bed76ce3e95de09f96a4ee5f579c219,LxBaseRAT
d0656967dcdc5f2ca217d5d9caa4a75e17f7ad62d23fdc0a71a95579ad3ab743,RemcosRAT
d1fdec2d2fb38eb21e69a9c93e55f0a42917f1d3bec19fb1e63d4a12cc0807ea,CobaltStrike
d21d86002931aaac18703428b8db94f1877a450d121d0c7037d24dccd9b59951,AgentTesla
d2989c7149d41251cb115b49880da9c819d3823299ffcd187fba5b23a36e7f4f,AgentTesla
d3b2ccc8a4d957e446ce7d29558c29d9ac9949c24069e08be6d4f43e6dd0748a,Formbook
d42b84a94d990cb280c33739284c7a2318e466754584d9c99de7fca99d650157,RustyStealer
d4971d87f7d0e94f302ac708a733f9e0166eba8daa4a5e0c8e41ac580643ff8c,MalwareBazaar
d4cfab5e052df4c049f258e226d11825cb37b0359be454b83241edd59b295f08,ZigClipper
d505e2297629a1cd2d9a85825cb0c7b02f19674a80f43216fd3fb365c22bca80,MalwareBazaar
d55810c4d73327ddfa13bb3603699cb46a7a8b61d34823ade9c1dc6416e666d6,RemcosRAT
d577739b4710f7339eb864950e14e037f41f7e35e489df25a03336013fe23085,PhantomStealer
d6639cd7dd18b5094f229a36cadda9aec9aa9cd269e59a0c40f05760107c62cb,QuasarRAT
d697ffce28c39d6553ac42bd90b640a5de08a251ef612c7ce8fc35f0866afaae,AgentTesla
d69b4a62494417b8c975512ecd3daaf0e5d76a0c687efa18c8dc8d20420d1332,ValleyRAT
d704cac1031a49406266f8d4c60287f72efdc3738619bd5441afbda6d24831e2,MalwareBazaar
d82fd1f36b81436d7fd9096cec50e2d08dbe148680ff1281e59b10d0fe806448,PureRAT
da65fb1a2765de3abfab49cafcf660e00737318e88d618d878a6f0b3207e0092,PhantomStealer
dbb9231ff1fb45b101eeb44d6d2157863035dbc364ce8f726560ef0f833fbfdd,PhantomStealer
dc1e2425521c3ff8344ea04a2294730e8ddda29da11b809421b85c896a693cad,MalwareBazaar
dc23b3336cba53708db89ce82d09a3efc0b7857a6acad17689091aaa18da4f31,Formbook
dd17e871204619a3de34126e366221b64e684ec13e24dfc871698abe343acbff,SalatStealer
